code,building,floor,department,kind,name_th,name_en,landmark_th,landmark_en,icon,qr,map_x,map_y
A1-ENT,A,1,,entrance,ทางเข้าหลัก,Main entrance,ประตูกระจกหน้าอาคาร A,Glass door Building A,🚪,1,280,540
A1-INFO,A,1,,poi,ประชาสัมพันธ์,Information,ตรงข้ามประตูทางเข้า,Opposite entrance,ℹ️,0,280,470
A1-REG,A,1,A1-OPD,counter,เวชระเบียน,Registration,ตรงข้ามประชาสัมพันธ์,Opposite information desk,🪪,1,280,400
A1-J1,A,1,,junction,,,ทางแยกหน้าลิฟต์ A,Junction at Lift A,,1,370,400
A1-PAY,A,1,A1-FIN,cashier,การเงิน,Cashier,ช่อง 1-4 ข้างเวชระเบียน,Counters 1-4 next to registration,💳,1,370,330
A1-PHA,A,1,A1-PHA,pharmacy,ห้องยา,Pharmacy,ข้างประตูทางออก,Next to exit,💊,1,430,400
A1-APT,A,1,A1-OPD,appointment,จุดนัดหมาย,Appointment desk,หน้าห้องยา,In front of pharmacy,📅,1,430,355
A1-LIFT,A,1,,elevator,ลิฟต์ A,Lift A,,,🛗,0,370,450
A1-STAIR,A,1,,stairs,บันได A,Stairs A,,,🪜,0,415,462
A1-WC,A,1,,toilet,ห้องน้ำชั้น 1,Toilet 1F,ข้างบันได A,Next to stairs A,🚻,0,325,455
A1-CAFE,A,1,,poi,ร้านกาแฟ,Café,โถงทางเข้า,Entrance hall,☕,0,170,470
A1-ATM,A,1,,poi,ตู้เอทีเอ็ม,ATM,ข้างร้านกาแฟ โถงทางเข้า,Next to the café in the entrance hall,🏧,0,140,430
A2-LIFT,A,2,,elevator,ลิฟต์ A,Lift A,,,🛗,0,370,450
A2-STAIR,A,2,,stairs,บันได A,Stairs A,,,🪜,0,415,462
A2-J1,A,2,,junction,,,หน้าลิฟต์ A ชั้น 2,Lift A lobby 2F,,1,370,400
A2-SCR,A,2,A2-SCR,screening,จุดคัดกรอง,Screening,ข้างตู้น้ำดื่ม,Next to water dispenser,🩺,1,280,400
A2-GP,A,2,A2-GP,exam_room,ห้องตรวจทั่วไป,General clinic,ห้อง 201-204,Rooms 201-204,👨‍⚕️,1,280,330
A2-WC,A,2,,toilet,ห้องน้ำชั้น 2,Toilet 2F,,,🚻,0,248,455
A2-BR,A,2,,bridge,ทางเชื่อม A→B,Bridge A→B,ปลายทางเดินชั้น 2,End of 2F corridor,🌉,1,440,400
B2-BR,B,2,,bridge,ทางเชื่อม B (ฝั่ง A),Bridge B (A side),,,🌉,1,560,400
B2-J1,B,2,,junction,,,โถงลิฟต์ B,Lift B lobby,,1,650,400
B2-LIFT,B,2,,elevator,ลิฟต์ B,Lift B,,,🛗,0,650,340
B2-STAIR,B,2,,stairs,บันได B,Stairs B,,,🪜,0,600,455
